"",description
0,"(0.0, 0.0)"
1,"(0.0, 0.0)"
2,"(0.0, 0.0)"
3,"(0.19047619047619047, 0.4801587301587302)"
4,"(0.11790123456790125, 0.33514109347442683)"
5,"(0.0, 0.0)"
6,"(0.07516233766233767, 0.39312770562770566)"
7,"(0.2815656565656565, 0.8333333333333334)"
8,"(0.0482187950937951, 0.36302759740259744)"
9,"(0.17847222222222223, 0.40429292929292937)"
10,"(0.0, 0.0)"
11,"(0.0, 0.0)"
12,"(0.043787878787878785, 0.2943181818181818)"
13,"(0.15000000000000002, 0.25)"
14,"(0.05714285714285715, 0.3904761904761905)"
15,"(0.05714285714285715, 0.3904761904761905)"
16,"(0.0393939393939394, 0.40378787878787875)"
17,"(0.0, 0.0)"
18,"(0.1330473098330241, 0.38298933209647495)"
19,"(0.12554347826086956, 0.4728260869565217)"
20,"(0.11666666666666667, 0.44999999999999996)"
21,"(0.10178571428571428, 0.3892857142857143)"
22,"(0.0, 0.0)"
23,"(0.12769360269360272, 0.4166947250280583)"
24,"(0.1516156462585034, 0.37227891156462584)"
25,"(0.03839672232529375, 0.4710173160173161)"
26,"(0.12146792601338056, 0.44811097992916177)"
27,"(0.3484848484848485, 0.4878787878787879)"
28,"(0.28195592286501375, 0.6070247933884297)"
29,"(0.14911778296609757, 0.39497259918608235)"
30,"(0.08613636363636365, 0.3683333333333333)"
31,"(0.2218344155844156, 0.4045634920634921)"
32,"(0.21089568575364026, 0.5531951003541914)"
33,"(0.1321928071928072, 0.4415750915750915)"
34,"(0.30162037037037037, 0.38032407407407404)"
35,"(0.05, 0.6892857142857143)"
36,"(0.13606451258189226, 0.43155506703635055)"
37,"(0.25, 0.75)"
38,"(0.0, 0.0)"
39,"(0.25326086956521743, 0.508695652173913)"
40,"(0.21551530612244893, 0.45646938775510193)"
41,"(0.17825396825396825, 0.3538095238095238)"
42,"(0.09375, 0.41875)"
43,"(0.23750000000000002, 0.45)"
44,"(0.175, 0.45499999999999996)"
45,"(0.5, 0.5)"
46,"(0.08632154882154881, 0.2973063973063973)"
47,"(0.22724867724867723, 0.5701058201058201)"
48,"(0.10330578512396695, 0.4587465564738292)"
49,"(0.2357142857142857, 0.29047619047619044)"
50,"(0.12016321856438134, 0.46300714789086883)"
51,"(0.0, 1.0)"
52,"(0.24899267399267397, 0.6632783882783883)"
53,"(0.28020833333333334, 0.4145833333333333)"
54,"(0.14453333333333332, 0.5202666666666667)"
55,"(0.03333333333333333, 0.06666666666666667)"
56,"(0.12351461038961038, 0.36246482683982684)"
57,"(0.14687001594896334, 0.4024322169059011)"
58,"(0.10909090909090909, 0.424263894000736)"
59,"(0.22777777777777777, 0.5333333333333333)"
60,"(0.10363636363636364, 0.22366883116883116)"
61,"(-0.1488095238095238, 0.8091269841269842)"
62,"(0.1, 0.4)"
63,"(0.14307208994708995, 0.4109292328042328)"
64,"(0.0, 0.0)"
65,"(0.075, 0.3897058823529412)"
66,"(-0.039720656701788766, 0.42748100955648105)"
67,"(0.29444444444444445, 0.4277777777777778)"
68,"(0.16702947845804988, 0.44640589569161)"
69,"(0.0952954873409419, 0.36452512134330317)"
70,"(0.1849388111888112, 0.37533022533022536)"
71,"(0.22916666666666666, 0.6)"
72,"(0.125094696969697, 0.5967566287878788)"
73,"(0.18104395604395604, 0.37820512820512825)"
74,"(0.2295138888888889, 0.6013888888888889)"
75,"(-0.08088235294117647, 0.37843137254901965)"
76,"(0.22261904761904766, 0.5059523809523809)"
77,"(0.15000000000000002, 0.544047619047619)"
78,"(0.07851161995898841, 0.39368534973798136)"
79,"(0.11886423761423758, 0.399609187109187)"
80,"(0.13477282276546987, 0.41376725235548767)"
81,"(0.22653425006366185, 0.47154634581105165)"
82,"(0.15649104683195597, 0.40781156073363856)"
83,"(0.15666666666666668, 0.41500000000000004)"
84,"(0.12459207459207461, 0.32631118881118876)"
85,"(0.2839285714285714, 0.5434523809523809)"
86,"(0.21428571428571427, 0.6428571428571429)"
87,"(0.16217291967291972, 0.4691522366522366)"
88,"(0.25, 0.6875)"
89,"(0.1932692307692308, 0.3945512820512821)"
90,"(0.2, 0.6)"
91,"(0.24937996031746032, 0.6007440476190478)"
92,"(0.0455566534914361, 0.5114591567852437)"
93,"(0.06222222222222222, 0.32222222222222224)"
94,"(0.025000000000000005, 0.48750000000000004)"
95,"(0.030042328042328034, 0.45188400488400465)"
96,"(0.1, 0.15000000000000002)"
97,"(0.06395370166556608, 0.42216505246166247)"
98,"(0.22999999999999998, 0.6975)"
99,"(0.13791260822510823, 0.43242694805194803)"
100,"(0.13258840726373192, 0.409684038904818)"
101,"(0.052064028314028316, 0.5168790218790218)"
102,"(0.11604683195592286, 0.46828020464384096)"
103,"(0.14411971606824547, 0.3867500636618284)"
104,"(0.1205438546960286, 0.38841273219534084)"
105,"(0.1695833333333333, 0.4881089743589744)"
106,"(0.09812268341680098, 0.3716252157428626)"
107,"(0.17276334776334776, 0.425556586270872)"
108,"(0.05, 0.33249999999999996)"
109,"(0.3333333333333333, 0.6203703703703703)"
110,"(0.0, 0.5)"
111,"(0.1, 0.3)"
112,"(0.17857142857142858, 0.43214285714285716)"
113,"(0.30525244682853386, 0.4707803971390927)"
114,"(0.2227891156462585, 0.4215986394557823)"
115,"(0.0, 0.0)"
116,"(0.13197634885439763, 0.3458913525498891)"
117,"(0.15445341263098278, 0.4154418011894649)"
118,"(0.1254955121870883, 0.4381991106719369)"
119,"(0.2954289131920711, 0.568922305764411)"
120,"(0.09090909090909091, 0.3696969696969697)"
121,"(0.09574056895485465, 0.40004638218923944)"
122,"(0.1959693084693085, 0.4779817404817405)"
123,"(0.11232896567717995, 0.3595202664399095)"
124,"(0.02483904983904984, 0.440979575979576)"
125,"(0.07926611676611678, 0.3537366912366912)"
126,"(0.17446544092611505, 0.3903550382202068)"
127,"(0.0, 0.0)"
128,"(0.10833333333333334, 0.5175925925925926)"
129,"(0.09966315699366549, 0.4674307660324611)"
130,"(0.24727272727272726, 0.48424242424242425)"
131,"(0.10964397839397841, 0.3668294918294917)"
132,"(0.14079545454545447, 0.4843939393939393)"
133,"(0.2204761904761905, 0.45809523809523806)"
134,"(0.12770013055727347, 0.3845018209303925)"
135,"(0.23753705533596844, 0.4058300395256917)"
136,"(0.010606060606060603, 0.389481351981352)"
137,"(0.11351707005116096, 0.3372921585989767)"
138,"(0.15734029484029483, 0.3083538083538084)"
139,"(0.1605545805545805, 0.5016807066807067)"
140,"(0.29500000000000004, 0.45499999999999996)"
141,"(0.11495761183261183, 0.5856556637806638)"
142,"(0.16420454545454546, 0.49375)"
143,"(0.09545454545454546, 0.46439393939393947)"
144,"(0.09847402597402598, 0.3351911976911976)"
145,"(0.17210976864665392, 0.46907234159283345)"
146,"(0.19027777777777777, 0.4749999999999999)"
147,"(0.03657407407407407, 0.7231481481481481)"
148,"(0.19393939393939394, 0.4398674242424242)"
149,"(0.1561868686868687, 0.41275252525252526)"
150,"(1.0, 0.3)"
151,"(0.0, 0.5)"
152,"(-0.020422979797979798, 0.4095571095571096)"
153,"(1.0, 0.6)"
154,"(0.0625, 0.40994318181818185)"
155,"(0.20792748917748916, 0.5530370670995671)"
156,"(0.07561132561132564, 0.20938273438273436)"
157,"(0.14445259042033237, 0.3229576874738165)"
158,"(0.08075159489633173, 0.37962519936204153)"
159,"(0.07603174603174603, 0.33115079365079364)"
160,"(0.24574592074592078, 0.4952214452214452)"
161,"(0.12274962908765724, 0.4384082271406216)"
162,"(0.07754702194357366, 0.29354754440961334)"
163,"(0.09432171089779785, 0.35899680030114817)"
164,"(0.14537037037037037, 0.5628968253968254)"
165,"(0.17566738816738814, 0.555239898989899)"
166,"(0.11449502465127465, 0.4109983766233766)"
167,"(0.05887445887445887, 0.3825396825396825)"
168,"(0.05366826156299841, 0.29191729323308274)"
169,"(0.1621212121212121, 0.413039974210187)"
170,"(0.19336219336219343, 0.45646464646464646)"
171,"(0.16155440604593146, 0.385642747083425)"
172,"(-0.0606060606060606, 0.2857808857808858)"
173,"(0.11062409812409814, 0.4733585858585858)"
174,"(0.25424107142857144, 0.49174107142857143)"
175,"(0.07094930969930972, 0.3430885105885106)"
176,"(-0.00681818181818182, 0.5340909090909091)"
177,"(0.25, 0.3666666666666667)"
178,"(0.1251955034213099, 0.47529325513196485)"
179,"(0.08953403902034038, 0.3399921995812406)"
180,"(0.0, 0.0)"
181,"(0.1334127565982405, 0.44277946515849737)"
182,"(0.23753705533596844, 0.4058300395256917)"
183,"(0.1627326685660019, 0.4335021151687817)"
184,"(0.10195852534562212, 0.3581413210445468)"
185,"(0.21875, 0.5125)"
186,"(0.15666666666666665, 0.34833333333333333)"
187,"(0.20075108225108226, 0.4799718614718615)"
188,"(0.38333333333333336, 0.6055555555555556)"
189,"(0.2, 0.55)"
190,"(0.35, 0.33333333333333337)"
191,"(0.20331890331890332, 0.3845238095238095)"
192,"(0.20331890331890332, 0.3845238095238095)"
193,"(0.3333333333333333, 0.6203703703703703)"
194,"(0.1590909090909091, 0.35625)"
195,"(0.0, 0.0)"
196,"(0.22662815126050417, 0.5561157796451914)"
197,"(0.1254955121870883, 0.4381991106719369)"
198,"(0.11249999999999999, 0.44999999999999996)"
199,"(0.17224392838799624, 0.45248550884144095)"
200,"(0.16351095413595412, 0.4354832104832106)"
201,"(0.0, 0.0)"
202,"(0.146351867202931, 0.43037154728644084)"
203,"(0.11486868686868686, 0.5467474747474748)"
204,"(0.0, 0.0)"
205,"(0.35833333333333334, 0.5166666666666667)"
206,"(0.5333333333333333, 0.6666666666666667)"
207,"(0.028571428571428577, 0.38571428571428573)"
208,"(0.26607142857142857, 0.5005952380952382)"
209,"(0.11111111111111112, 0.4305555555555556)"
210,"(0.21651785714285715, 0.5739583333333335)"
211,"(0.17102597402597403, 0.3838095238095238)"
212,"(0.13819298980589304, 0.46013126658287945)"
213,"(0.16322510822510827, 0.5753391053391055)"
214,"(0.011840628507295173, 0.5480078563411899)"
215,"(0.1, 0.2)"
216,"(0.0, 0.0)"
217,"(0.24722222222222223, 0.6583333333333333)"
218,"(0.1784531664571987, 0.3976504678117581)"
219,"(0.11722537878787882, 0.47464663374819627)"
220,"(0.08973727422003283, 0.43284072249589495)"
221,"(0.12565151515151513, 0.40431060606060604)"
222,"(0.18747294372294376, 0.4395382395382396)"
223,"(0.125, 0.30833333333333335)"
224,"(0.15416666666666667, 0.4187689969604864)"
225,"(0.13437500000000002, 0.20401785714285714)"
226,"(0.041666666666666664, 0.06666666666666667)"
227,"(0.05, 0.10625000000000001)"
228,"(0.0975, 0.6482589285714286)"
229,"(0.2357142857142857, 0.6085839598997494)"
230,"(0.22267998517998525, 0.464052689052689)"
231,"(0.22524509803921575, 0.4302287581699346)"
232,"(0.11499999999999999, 0.54)"
233,"(0.04956140350877193, 0.38370927318295733)"
234,"(0.0633982683982684, 0.37331168831168826)"
235,"(0.06666666666666667, 0.23333333333333334)"
236,"(0.22749999999999998, 0.3775)"
237,"(0.2036866359447005, 0.40042242703533026)"
238,"(0.15313176406926401, 0.4597949735449735)"
239,"(0.19664589442815247, 0.5315738025415444)"
240,"(0.19158834586466164, 0.4956766917293233)"
241,"(0.045604395604395616, 0.5009157509157509)"
242,"(0.0, 0.0)"
243,"(0.13477891156462588, 0.4182823129251701)"
244,"(0.10289918414918411, 0.47918123543123553)"
245,"(0.10543831168831168, 0.3409052257266542)"
246,"(0.021180555555555553, 0.4236111111111111)"
247,"(0.08912337662337662, 0.3941017316017317)"
248,"(-0.009999999999999998, 0.33999999999999997)"
249,"(0.25, 0.25)"
250,"(0.2009331116038433, 0.48212305986696236)"
251,"(-0.03125, 0.46875)"
252,"(0.135, 0.425)"
253,"(0.325, 0.41666666666666663)"
254,"(0.17346938775510207, 0.7168367346938774)"
255,"(-0.25, 0.6285714285714286)"
256,"(0.12, 0.32166666666666666)"
257,"(0.3167951828986985, 0.6402641802641803)"
258,"(0.2017857142857143, 0.4510204081632653)"
259,"(0.22258827110389612, 0.4578348214285714)"
260,"(0.3333333333333333, 0.5166666666666667)"
261,"(0.19898504273504275, 0.44382122507122507)"
262,"(0.009999999999999986, 0.54)"
263,"(0.11774844720496895, 0.472675983436853)"
264,"(0.13703703703703704, 0.4111111111111112)"
265,"(0.21929392446633827, 0.517200328407225)"
266,"(0.25, 0.5833333333333334)"
267,"(0.002884615384615385, 0.3817307692307692)"
268,"(0.14454288345172323, 0.4469094855420821)"
269,"(0.225, 0.5166666666666667)"
270,"(-0.0532900432900433, 0.3548268398268398)"
271,"(0.25706140350877194, 0.561359649122807)"
272,"(0.0, 0.1)"
273,"(0.4666666666666667, 0.6666666666666667)"
274,"(0.06893939393939394, 0.655)"
275,"(0.0, 0.0)"
276,"(0.10123782467532468, 0.31290584415584416)"
277,"(0.2666666666666667, 0.5833333333333334)"
278,"(0.0, 0.0)"
279,"(0.0, 0.027777777777777776)"
280,"(-0.09749999999999998, 0.48749999999999993)"
281,"(0.2279973649538867, 0.39835309617918313)"
282,"(0.5083333333333334, 0.6464285714285715)"
283,"(0.024933155080213897, 0.5447351667939904)"
284,"(0.07812925170068026, 0.46853741496598633)"
285,"(0.0, 0.0)"
286,"(0.221744227994228, 0.4195616883116884)"
287,"(0.24916666666666668, 0.3316666666666667)"
288,"(0.31875, 0.4875)"
289,"(0.0, 0.0)"
290,"(0.033122440622440616, 0.38350122850122853)"
291,"(0.18119466554950428, 0.65260298840944)"
292,"(0.09444444444444444, 0.55)"
293,"(0.37142857142857144, 0.7142857142857142)"
294,"(0.07348484848484849, 0.47233333333333327)"
295,"(0.3111111111111111, 0.4444444444444445)"
296,"(0.06385595081247256, 0.24850419306941043)"
297,"(0.255, 0.4)"
298,"(0.13090909090909092, 0.5108080808080808)"
299,"(-0.003508771929824549, 0.19824561403508775)"
300,"(0.13238095238095238, 0.5303571428571429)"
301,"(0.0, 0.35)"
302,"(0.32, 0.4)"
303,"(0.3328231292517007, 0.5341836734693878)"
304,"(0.15325311942959, 0.36666666666666664)"
305,"(0.05473484848484849, 0.5051136363636364)"
306,"(0.375, 0.375)"
307,"(0.2556547619047619, 0.5788690476190477)"
308,"(0.13535353535353536, 0.42849326599326587)"
309,"(0.2638888888888889, 0.4305555555555556)"
310,"(0.1767857142857143, 0.26972789115646256)"
311,"(0.16428571428571428, 0.421875)"
312,"(0.15, 0.3014705882352942)"
313,"(0.11249999999999999, 0.3333333333333333)"
314,"(0.12440476190476189, 0.4523809523809524)"
315,"(0.2669990723562153, 0.540321583178726)"
316,"(0.0741071428571429, 0.5510714285714285)"
317,"(0.11224482924482926, 0.47165560365560366)"
318,"(0.08212898212898215, 0.4451714951714952)"
319,"(0.09751910202729876, 0.450594942398221)"
320,"(0.25, 0.27777777777777773)"
321,"(0.14098389355742297, 0.4552871148459384)"
